# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x00260250|BSFaceGenMorphDataHair::BSFaceGenMorphDataHair|T2|1|??0BSFaceGenMorphDataHair@@QAA@PAUFffTriFileDataS@@@Z
0x00261D90|NiString::ToBool|T2|2|?ToBool@NiString@@QAA_NAA_N@Z
0x00261DE0|D3DXShader::CAssembler::Token|T2|2|?Token@CAssembler@D3DXShader@@IAAHXZ
0x00261F04|XGRAPHICS::PrintIL|T2|2|?PrintIL@XGRAPHICS@@YAXPAIPBDPAVCompiler@1@@Z
0x00262030|BSFaceGenNiNode::GetViewerStrings|T2|6|?GetViewerStrings@BSFaceGenNiNode@@UAAXPAV?$NiTPrimitiveArray@PAD@@@Z
0x00262460|BSFaceGenNiNode::FixSkinInstances|T2|1|?FixSkinInstances@BSFaceGenNiNode@@UAAXPAVNiNode@@_N@Z
0x002628C0|BSTreeManager::Create|T2|1|?Create@BSTreeManager@@SAX_N@Z
0x00262A10|BSTreeManager::CreateTreeForReference|T2|1|?CreateTreeForReference@BSTreeManager@@QAAPAVBSTreeNode@@PAVTESObjectREFR@@PAVTESObjectTREE@@@Z
0x00262FB6|BSTreeManager::GetModelArray|T2|1|?GetModelArray@BSTreeManager@@QAAPAV?$NiPointer@VBSTreeModel@@@@PAVTESObjectTREE@@@Z
0x002636C1|BSTreeManager::GetCanopyShadow|T2|2|?GetCanopyShadow@BSTreeManager@@SAPAVNiTexture@@XZ
0x0026394D|BSTreeManager::ClearCanopyShadow|T2|1|?ClearCanopyShadow@BSTreeManager@@SAXXZ
0x00263D10|*>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PAVPathingRequest@@PAVPathingTaskData@@@@QAA_NIPAVPathingRequest@@ABQAVPathingTaskData@@_N@Z
0x00264C61|BSTreeModel::ApplyBaseObject|T2|2|?ApplyBaseObject@BSTreeModel@@UAAXPAVTESObjectTREE@@@Z
0x00267846|BSTreeModel::CreateBillboardGeometry|T2|1|?CreateBillboardGeometry@BSTreeModel@@IAAXPAVTESObjectTREE@@@Z
0x00268008|BSTreeModel::CreateArt|T2|1|?CreateArt@BSTreeModel@@UAAPAVBSTreeNode@@M@Z
0x002687C2|BSTreeModel::InitAsInstance|T2|1|?InitAsInstance@BSTreeModel@@QAA_NPAV1@@Z
0x00268D47|BSTreeModel::InitFromBase|T2|2|?InitFromBase@BSTreeModel@@QAA_NPAVTESObjectTREE@@I@Z
0x00269FB0|BSTreeNode::UpdateDownwardPass|T2|1|?UpdateDownwardPass@BSTreeNode@@UAAXAAVNiUpdateData@@I@Z
0x0026A0A6|BSTreeNode::UpdateSelectedDownwardPass|T2|1|?UpdateSelectedDownwardPass@BSTreeNode@@UAAXAAVNiUpdateData@@I@Z
0x0026B20C|BSTreeNode::MakeHavokLeaves|T2|1|?MakeHavokLeaves@BSTreeNode@@QAAXPAVCSpeedTreeRT@@M@Z
0x0026B9E9|BSTreeNode::GetViewerStrings|T2|3|?GetViewerStrings@BSTreeNode@@UAAXPAV?$NiTPrimitiveArray@PAD@@@Z
0x0026CB40|ActorValue::GetItemWeaponTypeBadge|T1|5|?GetItemWeaponTypeBadge@ActorValue@@SAPBDW4Index@1@@Z
0x0026D3A0|ActorValue::RegisterActorValues|T3|17|?RegisterActorValues@ActorValue@@SAXXZ
0x0026DF40|ActorValueInfo::ActorValueInfo|T2|1|??0ActorValueInfo@@QAA@W4Index@ActorValue@@PAD@Z
