# CommonLib-documented vtable methods: 0xRVA|Class::method
0x0047C850|TESPackage::IsPackageOwner
0x0047C850|TESPackage::IsTargetAtLocation
0x0047C850|TESRegion::Validate
0x0047C850|bhkSerializable::GetWorld2
0x0047C850|bhkWorld::GetWorld2
0x0047C850|hkpShape::IsConvex
0x0047FF30|TESAttackDamageForm::GetAttackDamage
0x00483600|TESForm::InitializeData
0x00483710|Actor::Visit
0x00483710|AlchemyItem::GetDelivery
0x00483710|BoundItemEffect::Finish
0x00483710|MagicItem::VisitWeapon
0x00483710|ScriptEffect::Finish
0x00483710|TESForm::Activate
0x00483710|TESForm::ClearData
0x00483710|TESForm::GetIgnoredBySandbox
0x00483710|TESForm::Load
0x00483710|TESForm::RemoveChange
0x00483710|TESGrass::GetMaxSlopeDegrees
0x00483710|bhkShapeCollection::Unk_36
0x00483D20|TESForm::AddChange
0x00483FC0|TESForm::CheckSaveGame
0x00484020|TESForm::LoadGame
0x00484150|TESForm::SaveGame
0x00484530|TESForm::CreateGroupData
0x00484730|TESForm::GetFormEditorID
0x00484860|TESForm::SetFormEditorID
0x004848B0|TESForm::IsParentForm
0x00484900|TESForm::IsParentFormTree
0x00484950|TESForm::IsFormTypeChild
0x004849D0|TESForm::Copy
0x00484B60|TESForm::Revert
0x00484BC0|AlchemyItem::InitItemImpl
0x00484BC0|EnchantmentItem::InitItemImpl
0x00484BC0|TESForm::InitItemImpl
0x00484BF0|TESForm::GetDescriptionOwnerFile
0x00484C20|TESForm::GetFormDetailedString
0x00484C50|TESForm::GetRandomAnim
0x00484D60|TESForm::GetSavedFormType
0x00484DA0|TESForm::GetKnown
0x00485130|TESObject::IsMarker
0x00485170|TESObject::IsOcclusionMarker
0x004854E0|TESObject::ReplaceModel
0x00485530|TESObject::IncRef
0x00485C10|TESBoundObject::Clone3D
0x00485C10|TESObjectREFR::GetCurrentScene
0x004867A0|TESForm::InitLoadGame
0x004868F0|TESForm::SetAltered
0x00487790|TESLeveledList::GetChanceNone
0x00487840|TESLeveledList::GetMultCalc
0x00489010|TESModel::GetModel
0x00489100|TESModel::GetAsModelTextureSwap
0x0048CE80|MagicItem::VisitModel
0x0048E580|TESTexture::GetAsNormalFile
0x0048E720|TESTexture::GetDefaultPath
0x004F2A20|TESRegionDataLandscape::GetIconFileName
0x004F2A70|TESRegionDataLandscape::SetIconFileName
0x004F2EB0|TESRegionDataLandscape::LoadIcon
0x004F4F70|TESRegionDataSound::Load
0x004F5570|TESRegionDataWeather::Unk_08
0x004F89C0|GameSettingCollection::Unk_0A
0x00509AA0|TESGrass::SetColorRange
