  VFUNC|0x0057B410|Actor::vf046
  VFUNC|0x004534F0|Actor::vf047
  VFUNC|0x00ACBB70|Actor::vf048
  VFUNC|0x009333E0|Actor::vf049
  VFUNC|0x0055D420|Actor::vf050
  VFUNC|0x004534F0|Actor::vf051
  VFUNC|0x004848B0|Actor::vf052
  VFUNC|0x00484900|Actor::vf053
  VFUNC|0x00484950|Actor::vf054
  VFUNC|0x00483710|Actor::vf055
  VFUNC|0x004534F0|Actor::vf056
  VFUNC|0x0047C850|Actor::vf057
  VFUNC|0x0047C850|Actor::vf058
  VFUNC|0x0047C850|Actor::vf059
  VFUNC|0x008D0360|Actor::vf060
  VFUNC|0x0047C850|Actor::vf061
  VFUNC|0x0047C850|Actor::vf062
  VFUNC|0x008D0360|Actor::vf063
  VFUNC|0x008D0360|Actor::vf064
  VFUNC|0x00ACBB70|Actor::vf065
  VFUNC|0x0055C3E0|Actor::vf066
  VFUNC|0x0055D230|Actor::vf067
  VFUNC|0x0055E4D0|Actor::vf068
  VFUNC|0x0055E5E0|Actor::vf069
  VFUNC|0x0047C850|Actor::vf070
  VFUNC|0x0047C850|Actor::vf071
  VFUNC|0x008D0370|Actor::vf072
  VFUNC|0x00401270|Actor::vf073
  VFUNC|0x00485C10|Actor::vf074
  VFUNC|0x00401280|Actor::vf075
  VFUNC|0x0055D480|Actor::vf076
  VFUNC|0x00401290|Actor::vf077
  VFUNC|0x0087F920|Actor::vf078
  VFUNC|0x00578A80|Actor::vf079
  VFUNC|0x00935F60|Actor::vf080
  VFUNC|0x00579220|Actor::vf081
  VFUNC|0x005649B0|Actor::vf082
  VFUNC|0x00564A00|Actor::vf083
  VFUNC|0x00564AB0|Actor::vf084
  VFUNC|0x00564B00|Actor::vf085
  VFUNC|0x00564B70|Actor::vf086
  VFUNC|0x00564BC0|Actor::vf087
  VFUNC|0x00565690|Actor::vf088
  VFUNC|0x00567F40|Actor::vf089
  VFUNC|0x00567F00|Actor::vf090
  VFUNC|0x008A8290|Actor::vf091
  VFUNC|0x0087D600|Actor::vf092
  VFUNC|0x00572B60|Actor::vf093
  VFUNC|0x0088B4E0|Actor::vf094
  VFUNC|0x005750A0|Actor::vf095
  VFUNC|0x00575330|Actor::vf096
  VFUNC|0x0088DB20|Actor::vf097
  VFUNC|0x00575380|Actor::vf098
  VFUNC|0x00890610|Actor::vf099
  VFUNC|0x00892520|Actor::vf100
  VFUNC|0x008A2FA0|Actor::vf101
  VFUNC|0x0087D6F0|Actor::vf102
  VFUNC|0x0087D720|Actor::vf103
  VFUNC|0x008D0370|Actor::vf104
  VFUNC|0x008AE600|Actor::vf105
  VFUNC|0x008AE620|Actor::vf106
  VFUNC|0x00576330|Actor::vf107
  VFUNC|0x00576390|Actor::vf108
  VFUNC|0x005763F0|Actor::vf109
  VFUNC|0x00576420|Actor::vf110
  VFUNC|0x00576470|Actor::vf111
  VFUNC|0x00930870|Actor::vf112
  VFUNC|0x00930C70|Actor::vf113
  VFUNC|0x0087E060|Actor::vf114
  VFUNC|0x005702E0|Actor::vf115
  VFUNC|0x0043FCD0|Actor::vf116
  VFUNC|0x0056F6B0|Actor::vf117
  VFUNC|0x00933630|Actor::vf118
  VFUNC|0x00933700|Actor::vf119
  VFUNC|0x00567050|Actor::vf120
  VFUNC|0x008B70D0|Actor::vf121
  VFUNC|0x00ACBB70|Actor::vf122
  VFUNC|0x00573150|Actor::vf123
  VFUNC|0x004534F0|Actor::vf124
  VFUNC|0x008AE4C0|Actor::vf125
  VFUNC|0x0080F7B0|Actor::vf126
  VFUNC|0x009308F0|Actor::vf127
  VFUNC|0x0087FA10|Actor::vf128
  VFUNC|0x0087FA60|Actor::vf129
  VFUNC|0x0089FB80|Actor::vf130
  VFUNC|0x008BE0A0|Actor::vf131
  VFUNC|0x008BE180|Actor::vf132
  VFUNC|0x008D8800|Actor::vf133
  VFUNC|0x0047C850|Actor::vf134
  VFUNC|0x0047C850|Actor::vf135
  VFUNC|0x0047C850|Actor::vf136
  VFUNC|0x005725B0|Actor::vf137
  VFUNC|0x00930700|Actor::vf138
  VFUNC|0x008844F0|Actor::vf139
  VFUNC|0x00884560|Actor::vf140
  VFUNC|0x008BE4F0|Actor::vf141
  VFUNC|0x0057A770|Actor::vf142
  VFUNC|0x0057A740|Actor::vf143
  VFUNC|0x00881D30|Actor::vf144
  VFUNC|0x00882B90|Actor::vf145
  VFUNC|0x00883240|Actor::vf146
  VFUNC|0x00883800|Actor::vf147
  VFUNC|0x008A62B0|Actor::vf148
  VFUNC|0x00884AA0|Actor::vf149
  VFUNC|0x004534F0|Actor::vf150
  VFUNC|0x00886360|Actor::vf151
  VFUNC|0x008860D0|Actor::vf152
  VFUNC|0x008A5580|Actor::vf153
  VFUNC|0x00888070|Actor::vf154
  VFUNC|0x0087D770|Actor::vf155
  VFUNC|0x00483710|Actor::vf156
  VFUNC|0x008A0270|Actor::vf157
  VFUNC|0x00933890|Actor::vf158
  VFUNC|0x008B19C0|Actor::vf159
  VFUNC|0x008B2170|Actor::vf160
  VFUNC|0x008A20D0|Actor::vf161
  VFUNC|0x008B1070|Actor::vf162
  VFUNC|0x008BC750|Actor::vf163
  VFUNC|0x0087F900|Actor::vf164
  VFUNC|0x0087F750|Actor::vf165
  VFUNC|0x0087F7A0|Actor::vf166
  VFUNC|0x0087D600|Actor::vf167
  VFUNC|0x009307D0|Actor::vf168
  VFUNC|0x00930810|Actor::vf169
  VFUNC|0x00931620|Actor::vf170
  VFUNC|0x00931F30|Actor::vf171
  VFUNC|0x00888AC0|Actor::vf172
  VFUNC|0x00888AF0|Actor::vf173
  VFUNC|0x00888B20|Actor::vf174
  VFUNC|0x008BD7B0|Actor::vf175
  VFUNC|0x0087D5E0|Actor::vf176
  VFUNC|0x008A6A00|Actor::vf177
  VFUNC|0x008815A0|Actor::vf178
  VFUNC|0x008B2F90|Actor::vf179
  VFUNC|0x008D8940|Actor::vf180
  VFUNC|0x0087D7D0|Actor::vf181
  VFUNC|0x0087D7F0|Actor::vf182
  VFUNC|0x0087D810|Actor::vf183
  VFUNC|0x00931F80|Actor::vf184
  VFUNC|0x0087D6C0|Actor::vf185
  VFUNC|0x0087D6A0|Actor::vf186
  VFUNC|0x0047C850|Actor::vf187
  VFUNC|0x009315C0|Actor::vf188
  VFUNC|0x0087EAC0|Actor::vf189
  VFUNC|0x00888B50|Actor::vf190
  VFUNC|0x008C1320|Actor::vf191
  VFUNC|0x008B1910|Actor::vf192
  VFUNC|0x0047C850|Actor::vf193
  VFUNC|0x004534F0|Actor::vf194
  VFUNC|0x004534F0|Actor::vf195
  VFUNC|0x0087D880|Actor::vf196
  VFUNC|0x00ACBB70|Actor::vf197
  VFUNC|0x00ACBB70|Actor::vf198
  VFUNC|0x0087D630|Actor::vf199
VTABLE|0x01084248|Actor|1 vfuncs
  VFUNC|0x00575DC0|Actor::vf000
VTABLE|0x010841F4|Actor|20 vfuncs
  VFUNC|0x008C3FB0|Actor::vf000
  VFUNC|0x00815670|Actor::vf001
  VFUNC|0x008156E0|Actor::vf002
  VFUNC|0x00815740|Actor::vf003
  VFUNC|0x008C4020|Actor::vf004
  VFUNC|0x00815820|Actor::vf005
  VFUNC|0x00817620|Actor::vf006
  VFUNC|0x00815340|Actor::vf007
  VFUNC|0x008C3530|Actor::vf008
  VFUNC|0x008D0600|Actor::vf009
  VFUNC|0x008C45E0|Actor::vf010
  VFUNC|0x0087D790|Actor::vf011
  VFUNC|0x008C3650|Actor::vf012
  VFUNC|0x008C4420|Actor::vf013
  VFUNC|0x00815C50|Actor::vf014
  VFUNC|0x008C4610|Actor::vf015
  VFUNC|0x008C4470|Actor::vf016
  VFUNC|0x008C44C0|Actor::vf017
  VFUNC|0x008C4510|Actor::vf018
  VFUNC|0x00815CD0|Actor::vf019
VTABLE|0x010841BC|Actor|12 vfuncs
  VFUNC|0x008C48D0|Actor::vf000
  VFUNC|0x0087D7B0|Actor::vf001
  VFUNC|0x008C4090|Actor::vf002
