# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x0002E910|ExtraLight::ExtraLight|0x01015B58
0x0002EA00|ExtraLight::ExtraLight|0x01015B58
0x0002ED30|ExtraLock::ExtraLock|0x0101589C
0x0002EEC0|ExtraFollower::ExtraFollower|0x01015B64
0x0002EEF0|ExtraFollower::ExtraFollower|0x01015B64
0x0002EFE0|ExtraGuardedRefData::ExtraGuardedRefData|0x01015B70
0x0002F000|ExtraGuardedRefData::ExtraGuardedRefData|0x01015B70
0x0002F2D0|ExtraTeleport::ExtraTeleport|0x010158A8
0x0002F3D0|ExtraMapMarker::ExtraMapMarker|0x01015B88
0x0002F420|ExtraMapMarker::ExtraMapMarker|0x01015B88
0x0002F4E0|ExtraAudioMarker::ExtraAudioMarker|0x01015B94
0x0002F570|ExtraAudioMarker::ExtraAudioMarker|0x01015B94
0x0002F730|ExtraAudioBuoyMarker::ExtraAudioBuoyMarker|0x01015BA0
0x0002F7D0|ExtraAction::ExtraAction|0x01015BAC
0x0002F850|ExtraContainerChanges::ExtraContainerChanges|0x01015BB8
0x0002F9C0|ExtraOriginalReference::ExtraOriginalReference|0x01015BC4
0x0002FA60|ExtraOwnership::ExtraOwnership|0x010158B4
0x0002FB00|ExtraGlobal::ExtraGlobal|0x010158C0
0x0002FC6D|ExtraCount::ExtraCount|0x010158D8
0x0002FD40|ExtraHealth::ExtraHealth|0x010158E4
0x0002FE80|ExtraUses::ExtraUses|0x010158F0
0x0002FEE0|ExtraTimeLeft::ExtraTimeLeft|0x010158FC
0x0002FF80|ExtraCharge::ExtraCharge|0x01015908
0x0003004B|ExtraScript::ExtraScript|0x01015914
0x000300A0|ExtraScript::ExtraScript|0x01015914
0x00030390|ExtraCannotWear::ExtraCannotWear|0x01015BF4
0x000303C0|ExtraHotKey::ExtraHotKey|0x0101592C
0x000303E0|ExtraInfoGeneralTopic::ExtraInfoGeneralTopic|0x01015C00
0x000304B2|ExtraInfoGeneralTopic::ExtraInfoGeneralTopic|0x01015C00
0x00030590|ExtraInfoGeneralTopic::ExtraInfoGeneralTopic|0x01015C00
0x000305F0|ExtraSeed::ExtraSeed|0x01015C0C
0x00030780|ExtraPackageStartLocation::ExtraPackageStartLocation|0x01015C18
0x00030830|ExtraPackage::ExtraPackage|0x01015C24
0x000308C0|ExtraPackage::ExtraPackage|0x01015C24
0x000308F0|ExtraTresPassPackage::ExtraTresPassPackage|0x01015944
