# JIP-LN-NVSE Address Mappings
# Format: 0xVA|name|source
0x01015944|VTABLE_ExtraTresPassPackage|JIP-LN/internal\class_vtbls.h
0x01015950|VTABLE_ExtraLeveledItem|JIP-LN/internal\class_vtbls.h
0x0101595C|VTABLE_ExtraPoison|JIP-LN/internal\class_vtbls.h
0x01015968|VTABLE_ExtraHeadingTarget|JIP-LN/internal\class_vtbls.h
0x01015974|VTABLE_ExtraHasNoRumors|JIP-LN/internal\class_vtbls.h
0x01015980|VTABLE_ExtraModelSwap|JIP-LN/internal\class_vtbls.h
0x0101598C|VTABLE_ExtraActorCause|JIP-LN/internal\class_vtbls.h
0x01015998|VTABLE_ExtraAmmo|JIP-LN/internal\class_vtbls.h
0x010159A4|VTABLE_ExtraWeaponModFlags|JIP-LN/internal\class_vtbls.h
0x010159B0|VTABLE_ExtraSecuritronFace|JIP-LN/internal\class_vtbls.h
0x010159BC|VTABLE_ExtraModdingItem|JIP-LN/internal\class_vtbls.h
0x010159C8|VTABLE_ExtraCombatStyle|JIP-LN/internal\class_vtbls.h
0x01015B28|VTABLE_ExtraAnim|JIP-LN/internal\class_vtbls.h
0x01015B34|VTABLE_ExtraDismemberedLimbs|JIP-LN/internal\class_vtbls.h
0x01015B40|VTABLE_ExtraStartingPosition|JIP-LN/internal\class_vtbls.h
0x01015B4C|VTABLE_ExtraStartingWorldOrCell|JIP-LN/internal\class_vtbls.h
0x01015B58|VTABLE_ExtraLight|JIP-LN/internal\class_vtbls.h
0x01015B64|VTABLE_ExtraFollower|JIP-LN/internal\class_vtbls.h
0x01015B70|VTABLE_ExtraGuardedRefData|JIP-LN/internal\class_vtbls.h
0x01015B7C|VTABLE_ExtraLeveledCreature|JIP-LN/internal\class_vtbls.h
0x01015B88|VTABLE_ExtraMapMarker|JIP-LN/internal\class_vtbls.h
0x01015B94|VTABLE_ExtraAudioMarker|JIP-LN/internal\class_vtbls.h
0x01015BA0|VTABLE_ExtraAudioBuoyMarker|JIP-LN/internal\class_vtbls.h
0x01015BAC|VTABLE_ExtraAction|JIP-LN/internal\class_vtbls.h
0x01015BB8|VTABLE_ExtraContainerChanges|JIP-LN/internal\class_vtbls.h
