# string_anchor: PC RVA | qualified name | source string text
0x006A6C70|MemoryPool::Free|MemoryPool::Free
0x006A6F90|MemoryPool::FreeUnusedPagesForAllPools|MemoryPool::FreeUnusedPagesForAllPools()
0x00705210|CSpeedTreeRT::MakeInstance|CSpeedTreeRT::MakeInstance
0x00706660|CSpeedTreeRT::SetBranchLightingMethod|CSpeedTreeRT::SetBranchLightingMethod
0x00706810|CSpeedTreeRT::SetLeafLightingMethod|CSpeedTreeRT::SetLeafLightingMethod
0x007069C0|CSpeedTreeRT::SetFrondLightingMethod|CSpeedTreeRT::SetFrondLightingMethod
0x00706C10|CSpeedTreeRT::SetCamera|CSpeedTreeRT::SetCamera
0x007071F0|CSpeedTreeRT::SetLeafRockingState|CSpeedTreeRT::SetLeafRockingState
0x00707510|CSpeedTreeRT::SetLeafWindMethod|CSpeedTreeRT::SetLeafWindMethod
0x007076E0|CSpeedTreeRT::SetBranchWindMethod|CSpeedTreeRT::SetBranchWindMethod
0x00707900|CSpeedTreeRT::SetFrondWindMethod|CSpeedTreeRT::SetFrondWindMethod
0x00707B00|CSpeedTreeRT::SetWindStrength|CSpeedTreeRT::SetWindStrength
0x00707DB0|CSpeedTreeRT::SetNumWindMatrices|CSpeedTreeRT::SetNumWindMatrices
0x00708050|CSpeedTreeRT::SetLocalMatrices|CSpeedTreeRT::SetLocalMatrices
0x00708200|CSpeedTreeRT::ComputeLodLevel|CSpeedTreeRT::ComputeLodLevel
0x007088B0|CSpeedTreeRT::DeleteBranchGeometry|CSpeedTreeRT::DeleteBranchGeometry
0x00708AF0|CSpeedTreeRT::GetLeafBillboardTable|CSpeedTreeRT::GetLeafBillboardTable
0x00708C80|CSpeedTreeRT::ComputeLeafStaticLighting|CSpeedTreeRT::ComputeLeafStaticLighting
0x00708C80|CSpeedTreeRT::NotifyAllTreesOfEvent|CSpeedTreeRT::NotifyAllTreesOfEvent
0x0070A7A0|CSpeedTreeRT::DeleteFrondGeometry|CSpeedTreeRT::DeleteFrondGeometry
0x0070AA20|CSpeedTreeRT::GetGeometry|CSpeedTreeRT::GetGeometry
0x0070C8D0|CSpeedTreeRT::GetLeafLodSizeAdjustments|CSpeedTreeRT::GetLeafLodSizeAdjustments
0x0070CFF0|CSpeedTreeRT::GetTextures|CSpeedTreeRT::GetTextures
0x00754B60|BSShaderManager::CreateTangentSpaceSimple|BSShaderManager::CreateTangentSpaceSimple(): Trying to create a tangent space for a trigeom with no normals.  Aborted.
0x008E61C0|hkaSkeletonMapperUtils::createMapping|hkaSkeletonMapperUtils::createMapping
0x008FC1D0|hkpCollisionDispatcher::debugPrintTable|hkpCollisionDispatcher::debugPrintTable
