# iterative call-graph alignment: 0xRVA|qualified_name|votes
0x0003CFD0|BSStream::BSStream|1
0x0003D100|NiStream::NiStream|1
0x0003D450|Animation::SpecialIdleWorking|1
0x0003D640|QueuedTexture::QueuedTexture|1
0x0003D690|IOTask::AddToPostProcessQueue|2
0x0003DBB0|IOTask::SetKey|1
0x0003DC10|IOTask::GetNextCounter|1
0x0003E530|QueuedTexture::GetAlreadyInPalette|1
0x0003EA90|ModelLoader::RemoveReplacementKFListFromMap|1
0x0003F1F0|QueuedHelmet::SetFinishedQueuing|1
0x0003F220|BipedAnim::GetBipObject|1
0x0003FAB0|QueuedHelmet::GetFinishedQueuing|1
0x0003FB50|ModelLoader::RemoveHelmetFromMap|1
0x0003FCD0|TESObjectREFR::Get3D|4
0x00040460|NiAVObject::SetTranslate|2
0x000405B0|IOTask::SetIOTaskPriority|1
0x00040DA0|BSSimpleList<FalloutRadio::FORadioStation *>::GetNext|1
0x00040E30|BSCoreMessage::QInstance|1
0x00041290|QueuedReference::QueueMe|1
0x000424C0|BSTaskThread::WaitSemaphore|1
0x000424E0|BSSemaphore::Wait|1
0x00042550|BSSemaphore::Signal|1
0x00043190|AutoMemContext::AutoMemContext|1
0x000431B0|BSTreeManager::AddBackgroundLoadedTree|1
0x00043240|AutoMemContext::~AutoMemContext|1
0x000436C0|ModelLoader::QueueTexture|4
0x00043DC0|ModelLoader::QueueModel|1
0x00044D20|BSSimpleArray<CombatProcedure *,1024>::BSSimpleArray<CombatProcedure *,1024>|1
0x00044ED0|TESObject::GetModelFileName|1
0x000454D0|NiRefObject::~NiRefObject|1
0x00045670|ModelLoader::CancelReferencesForCell|1
0x00046390|BGSProjectile::GetExplosion|1
0x00046EF0|MemoryLevelManager::QInstance|1
0x00047BF0|ModelLoader::QueueEGMFile|1
0x000483A0|std::basic_string<char,std::char_traits<char>,std::allocator<char> >::c_str|1
0x00048920|QueuedKF::Run|1
0x00049050|BSTask<__int64>::SetTaskFinished|1
0x00049110|BSTask<__int64>::GetTaskFinished|3
0x00049130|BSTask<__int64>::GetTaskCanceled|4
0x00049150|BSTask<__int64>::SetTaskFinished|1
0x0004A170|NiRefObject::~NiRefObject|1
0x0004A580|std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >|1
0x0004ADF0|NiTArray<NiParticles *,NiTMallocInterface<NiParticles *> >::GetSize|1
0x0004AFE0|NiPointer<KFModel>::NiPointer<KFModel>|2
0x0004B0F0|ModelLoader::GetLoadedFileFromMap|1
0x0004B130|BSCriticalSection::TryLock|1
0x0004B180|LoadedFile::DecRefCount|1
0x0004B220|NiPointer<LoadedFile>::operator=|1
0x0004C640|BSReadWriteLock::UnlockWrite|1
0x0004CBF0|NiPointer<AttachDistant3DTask>::~NiPointer<AttachDistant3DTask>|1
0x0004CC10|LockFreeMap<TESObjectREFR *,NiPointer<QueuedReference> >::LockFreeMapIterator::LockFreeMapIterator|1
0x0004DD60|LowProcess::LoadGame|1
0x0004DEE0|BGSChangeFlags::BGSChangeFlags|2
0x0004F560|SettingT<INISettingCollection>::QCollection|3
0x0004F570|SettingT<INISettingCollection>::QCollection|1
0x0004FAA0|SettingCollectionList<Setting>::Head|1
0x00050410|StartMenu::OptionListBox::OptionListBox|1
0x000506A0|BSSimpleList<NiPointer<ImageSpaceModifierInstance> >::BSSimpleList<NiPointer<ImageSpaceModifierInstance> >|1
0x00050B40|BSSimpleList<TESObjectCELL *>::BSSimpleList<TESObjectCELL *>|1
0x00050B60|NiPointer<LoadedAreaBound>::NiPointer<LoadedAreaBound>|1
0x00050B90|bhkWorld::SetChaseDeltaMult|1
0x00050D00|Setting::Float|1
0x00050FD0|TESObjectCELL::GetState|1
0x000511E0|TES::IsCellLoaded|1
0x000512A0|TESObjectCELL::SetState|1
0x000516B0|TESDataHandler::GetSaveLoad|1
0x00052530|NiTArray<Animation *,NiTNewInterface<Animation *> >::GetAt|1
0x00052DC0|TESForm::GetInitialized|1
0x00052E50|TES::SetUpdateGridString|1
0x000538A0|BSCriticalSection::Enter|7
0x000538C0|BSCriticalSection::Leave|8
0x000539A0|NiPointer<QueuedFile>::NiPointer<QueuedFile>|1
0x000543C0|BSStringT<char>::Set|1
0x00054B10|TESObjectREFR::GetInterior|1
0x00054B90|TES::AddToBuffer|1
0x00055620|TES::GetDeadCount|1
0x00056610|NiAVObject::GetAppCulled|1
0x00057BA0|ModelLoader::ReleaseFile|1
0x00058620|hkTransform::hkTransform|1
0x000587D0|hkMatrix3::getColumn|2
0x00058BE0|TES::GetCellPriority|1
0x00058F90|AutoMemContext::AutoMemContext|1
0x0005A1C0|bhkWorld::SetUpdateType|1
0x0005A350|bhkWorld::SetRecFunction|1
0x0005A5E0|Tile::AddUserTrait|2
0x0005BB80|RaceSexMenu::MenuOptionList::InsertMenuOption|1
0x0005BC00|BGSDistantTreeBlock::ReadTypes|1
0x0005C520|BSSimpleArray<ShadowSceneLight *,1024>::BSSimpleArray<ShadowSceneLight *,1024>|1
0x0005C650|TESForm::GetFormByNumericID|1
0x0005C670|Interface::PrintLine|1
0x0005C6B0|TESObjectREFR::GetObjectReference|1
0x0005DFE0|bhkWorld::SetDebrisMaxVelocity|1
0x00060140|BGSNote::GetNoteSound|1
0x00060340|TESForm::GetAltered|2
0x000610D0|BSCoreMessage::QInstance|1
0x000610F0|MobileObject::MobileObject|1
0x00061330|TESDataHandler::NewCell|1
0x00061580|TESRaceForm::TESRaceForm|1
0x00061630|NiTLargeArray<TESForm *,NiTMallocInterface<TESForm *> >::GetSize|1
0x00061930|TESBoundObject::TESBoundObject|1
0x00061BC0|TESRegionPoint::TESRegionPoint|1
0x00064E10|BSSimpleList<ListBoxItem<BGSPerk *> *>::GetItem|1
0x00069860|BSSimpleArray<char *,1024>::BSSimpleArray<char *,1024>|1
0x0006A010|ProcessLists::GetSystemTimeClock|1
0x0006E8A0|MessageHandler::QWarningCount|5
0x0006FB20|Menu::Menu|1
0x000705C0|NiTPointerListBase<DFALL<NiTListItem<BSAnimGroupSequence const *> >,BSAnimGroupSequence const *>::NewItem|1
0x00070650|FORM::Endian|1
0x00071C20|TESObjectCELL::GetInterior|1
0x000720D0|TESForm::GetFormByNumericID|1
0x000723A0|TESObjectCELL::GetPersistentCell|1
0x00072660|TESFile::GetTESForm|18
0x000727D0|TESForm::GetFormType|1
0x00072840|TESFile::GetChunkData|1
0x00072BC0|TESFile::ReadFormHeader|1
0x00072FE0|TESFile::AddTESForm|1
0x00073070|TESForm::GetFormBuffer|2
0x00073080|TESForm::GetFormBufferSize|2
0x00073110|TESFile::EasyWrite|1
0x00073180|TESDataHandler::IsFormIDCreated|1
0x00073250|TESFile::GetCompileIndex|2
0x000732F0|TESFile::GetGroupList|1
0x00073660|ExtraDataList::GetCanopyShadowMask|1
0x000736C0|TESFile::StartAndEndGroupsForForm|1
0x00073930|TESForm::GetFormType|1
0x00074A40|Tile::GetTileByName|1
0x00074CB0|TESForm::GetFormEditorIDLength|2
0x000750B0|BGSClipRoundsForm::BGSClipRoundsForm|2
0x000753D0|BGSDestructibleObjectForm::IsDestructible|1
0x00075400|BGSDestructibleObjectForm::GetDestructionForm|1
0x00075A00|BGSDestructibleObjectForm::HasValidStages|1
0x000768C0|NiCollisionObject::GetSceneGraphObject|1
0x000781E0|EffectSetting::QueueEffectFinished|1
0x00079320|BGSEquipType::BGSEquipType|5
0x00079C40|TESFile::QEndian|1
0x0007CB90|ACTOR_BASE_DATA::Endian|1
0x0007D800|TESActorBaseData::SetFactionRank|1
0x0007DD50|TESActorBaseData::SetFlagBit|1
0x0007E2A0|BSCoreMessage::QInstance|1
0x0007EE00|TESAIForm::SetAggression|1
0x0007EED0|TESAIForm::SetConfidence|1
0x0007EF00|TESAIForm::SetEnergy|1
0x0007EF50|TESAIForm::SetResponsibility|1
0x0007F060|BSSoundHandle::Play|1
0x000802F0|TESBipedModelForm::TESBipedModelForm|2
0x00080DB0|ListBox<ItemChange *>::NumItems|1
0x00082CB0|NiAVObject::GetParent|1
0x00082F20|TESDataHandler::GetLoadingFiles|1
0x00082F40|TESDescription::LoadDescription|1
0x00083370|TESForm::TESForm|52
0x000839C0|TESForm::GetFormByNumericID|30
0x000846A0|TESForm::SetDestructible|1
0x00084AB0|TESForm::SetInitialized|23
0x00084B40|TESForm::IsDefaultForm|1
0x00084D00|BSSimpleArray<SpectatorThreatInfo,1024>::GetSize|1
0x00084E60|TESForm::GetFile|12
0x00085110|TESForm::LoadForm|20
0x000855A0|TESForm::StartForm|19
0x00085680|TESForm::CloseForm|9
0x000856D0|TESForm::AddChunk|3
0x000856F0|TESForm::AddChunkArray|1
0x00085710|TESForm::AddChunkArray|1
0x000858F0|TESForm::AddChunk|2
0x00085910|TESForm::AddChunk|4
0x00085990|TESForm::__AddChunkData|12
0x00085B30|TESForm::FreeFormBuffer|1
0x00085D50|TESForm::AddCompileIndex|11
0x00085E20|TESForm::__SaveData|2
0x00086890|TESForm::GetFormType|1
0x00087010|Interface::PrintLine|1
0x00087050|BGSSaveGameBuffer::SaveData|1
0x000872E0|Tile::GetTileByName|1
0x00088FD0|TESTextureList::TESTextureList|1
0x00088FF0|BSStringT<char>::BSStringT<char>|1
0x000891D0|TESModel::Save|1
0x00089280|BGSLoadGameBuffer::LoadVariableSizedValue|1
0x000892D0|MagicItem::GetAVEffect|1
0x000893E0|EffectItem::GetRange|1
0x00089620|TESForm::GetFile|1
0x0008ADE0|TESModelTextureSwap::ClearTexSwapList|1
0x0008AE30|BGSChangeFlags::CheckFlags|1
0x0008B4C0|TESSpellList::GetSpellList|1
0x0008BB70|BGSBodyPartData::GetBodyPart|1
0x0008D150|PathingRequest::GetOrigin|2
0x0008D330|Actor::GetActorBase|1
0x0008EE50|PathingRequestOptimalLocation::GetAbsoluteMinDistance|1
0x0008F200|NiTPointerList<Tile *>::NiTPointerList<Tile *>|6
0x0008F370|NiTPointerListBase<DFALL<NiTListItem<BSAnimGroupSequence const *> >,BSAnimGroupSequence const *>::Remove|1
0x00091040|Animation::GetCurrentSequence|1
0x00093830|TESObjectWEAP::GetWeaponType|1
0x000938C0|AutoMemContext::AutoMemContext|1
0x00093BB0|Actor::IsInCombat|6
0x000949A0|Setting::Bool|1
0x00095460|ActiveEffect::GetMagnitude|4
0x00095D00|Tile::AddUserTrait|1
0x00095F30|AnimIdle::AnimIdle|1
0x00096080|TESSaveLoadGame::UseSaveGameBlocks|1
0x00096940|BGSDehydrationStage::FindStageForRadLevel|1
0x00096A50|NiRefObject::NiRefObject|1
0x000985F0|Animation::SpecialIdleDonePlaying|1
0x00098F80|TESObjectREFR::GetExtra|1
0x000997B0|TESIdleManager::GetUsedItem|1
0x00099B70|BGSDehydrationStage::GetSickness|1
0x0009C0B0|NiObjectGarbage::Add|1
0x0009C390|AnimIdle::GetSaveSize|1
0x0009C5D0|NiPointer<NiRefObject>::NiPointer<NiRefObject>|1
0x0009C680|BSSpinLock::Lock|1
0x0009DA80|NiCullingProcess::GetCamera|1
0x0009ED90|NiAlphaProperty::SetAlphaBlending|1
0x0009EDB0|NiStencilProperty::SetStencilFunction|1
0x0009EEA0|TESSaveLoadGame::UseSaveGameBlocks|1
0x000A0370|NiXenonRenderer::LockRenderer|1
0x000A03A0|NiRenderer::LockCount|2
0x000A03C0|NiXenonRenderer::UnlockRenderer|1
0x000A0BD0|NiObjectNET::GetName|1
0x000A0EA0|NiXenonRenderer::GetRenderer|1
0x000A1A30|BSFaceGenKeyframeMultiple::BSFaceGenKeyframeMultiple|3
0x000A3970|hkConstraintCinfo::GetViewerStrings|3
0x000A3B50|hkpRayHitCollector::reset|2
0x000A3B70|hkpAllRayHitCollector::reset|1
0x000A3D00|hkpWorldRayCastOutput::hkpWorldRayCastOutput|1
0x000A4040|StartMenu::PauseMenuIsActive|1
0x000A4460|BSSimpleList<NiPointer<BSTempEffect> >::IsEmpty|1
0x000A4730|hkInplaceArray<hkpWorldRayCastOutput,8,hkContainerHeapAllocator>::hkInplaceArray<hkpWorldRayCastOutput,8,hkContainerHeapAllocator>|1
0x000A4AC0|BGSPrimitive::BGSPrimitive|1
0x000A4C50|NiColorA::NiColorA|1
0x000A4C90|NiColorA::operator!=|3
0x000A4CC0|NiColorA::operator==|3
0x000A51B0|NiPoint3::operator[]|1
0x000A9B50|BSSimpleArray<NavMeshInfo *,1024>::BSSimpleArray<NavMeshInfo *,1024>|1
0x000AC110|TESObjectREFR::GetObjectReference|2
0x000AD050|NiPointer<Model>::~NiPointer<Model>|1
0x000AE700|bhkWorldObject::GetCollidable|1
0x000AE750|bhkRigidBody::operator*|2
0x000AE8A0|BipedAnim::IsFaceGenObject|1
0x000AFC50|NiPSysModifierCtlr::NiPSysModifierCtlr|1
0x000B0460|BGSSaveGameBuffer::SaveData|1
0x000B07E0|NiTPrimitiveArray<BSAnimNoteReceiver::BSAnimNoteReceiverType *>::NiTPrimitiveArray<BSAnimNoteReceiver::BSAnimNoteReceiverType *>|1
0x000B0EF0|Setting::Float|1
0x000B2960|NiAVObject::IsVisualObject|1
0x000B4500|NiAVObject::GetWorldTransform|1
0x000B46A0|NiPointer<NiGeometryData>::operator->|1
0x000B5A20|bhkCollisionObject::Getbhk|2
0x000B5A80|bhkEntity::Getbhk|2
0x000B5B20|Animation::GetControllerManager|1
0x000B6190|NiPlane::Distance|1
0x000B66D0|TESObjectREFR::GetObjectReference|1
0x000B7210|InterfaceManager::Instance|62
0x000B7660|NiCamera::NiCamera|1
0x000BA490|GridCellArray::Get|4
0x000BA4E0|GridCellArray::Set|3
0x000BAEC0|NiPoint3::NiPoint3|1
0x000BC1F0|NiAVObject::SetTranslate|1
0x000BC3F0|Renderer::GetNIRenderer|4
0x000BCDB0|ListBox<BGSPerk *>::Initialize|1
0x000BED00|ModelLoader::QueueModel|1
0x000BF150|BSExtraData::~BSExtraData|1
0x000C69F0|ListBox<StartMenu::Option *>::Traverse|1
0x000C6BA0|AutoMemContext::AutoMemContext|1
0x000C8F30|Interface::PrintLine|1
0x000D5C60|MiscStatManager::Increment|1
0x000D5D50|bhkWorld::SetAddBipedWhenKeyframed|1
0x000D5E00|MenuManager::Instance|1
0x000D9380|BSExtraData::~BSExtraData|1
0x000D9AE0|NiMatrix3::operator!=|2
0x000DC020|BSTimer::GetSeconds|1
0x000DC060|BSShaderManager::GetShaderLevel|1
0x000DC0A0|BSShaderManager::GetUseRefractionShader|1
0x000DC1F0|NiPoint3::NiPoint3|1
0x000DC200|NiPoint4::SetVector|1
0x000DE490|SettingT<INIPrefSettingCollection>::QCollection|2
0x000DE890|BSCustomSplatterExtraData::Tag|1
0x000E0320|BSSplatterExtraData::Tag|1
0x000E3270|BSShaderManager::GetImageSpaceManager|3
0x000E9530|NiRenderer::GetFrameState|1
0x000E9BB0|BSShaderProperty::SetFlag|1
0x000EA950|BGSProjectile::GetData|1
0x000EAF60|PlayerCharacter::Is3rdPerson|3
0x000EBB30|NiTPrimitiveArray<enum NiTexturingProperty::FilterMode>::NiTPrimitiveArray<enum NiTexturingProperty::FilterMode>|1
0x000EBB50|NiTPrimitiveArray<enum BSTextureManager::eTextureType>::NiTPrimitiveArray<enum BSTextureManager::eTextureType>|1
0x000EBBC0|BSCoreMessage::QInstance|1
0x000EE390|BGSDecalNode::Init|2
0x000EE4B0|BSShaderProperty::SetDepthBias|1
0x000EE810|BSSimpleList<NiPointer<ImageSpaceModifierInstance> >::BSSimpleList<NiPointer<ImageSpaceModifierInstance> >|1
0x000EE840|BSSimpleList<NiPointer<bhkSerializable> >::BSSimpleList<NiPointer<bhkSerializable> >|1
0x000EE920|AutoMemContext::AutoMemContext|1
0x000EFF50|NiSwitchNode::GetUpdateOnlyActiveChild|2
0x000F0140|Setting::Float|1
0x000F0180|bhkRigidBody::QOkToMove|1
0x000F09E0|TESForm::TESForm|1
0x000F1540|TESRegionData::GetOverride|23
0x000F15A0|TESForm::SetFormType|59
0x000F15C0|TESRegionData::SetPriority|18
0x000F3360|BaseFormComponent::BaseFormComponent|1
0x000F3400|TESRegionDataList::Clear|1
0x000F4280|BSStringT<char>::ByteLengthWithNull|1
0x000F43C0|TESRegionSounds::TESRegionSounds|2
0x000F4BAD|TESFile::GetChunkData|2
0x000F4BB3|TESForm::GetFormByNumericID|1
0x000F5EF0|TESRegionGrassObjectList::Clear|3
0x000F6060|TESRegionGrassObjectList::Copy|4
0x000F61D0|TESRegionGrassObjectList::MergeLists|1
0x000F6640|BSSimpleList<TESRegion *>::BSSimpleList<TESRegion *>|1
0x000F79F0|TESFile::GetChunkData|1
0x000F7DD0|TESForm::GetInitialized|1
0x000F8220|TESForm::LoadForm|1
0x000F8A60|SettingCollection<Setting>::SetFileHandle|1
0x000F8C50|BGSAddonNode::InitializeData|1
0x000F9230|BGSAddonNodeSoundHandleExtra::Tag|1
0x000F9570|BGSConstructibleObject::InitializeData|1
0x000F9E30|TESForm::TESForm|1
0x000FAA00|BGSExplosionData::BGSExplosionData|1
0x000FAA20|BGSExplosionData::Initialize|1
0x000FADC0|BGSExplosion::GetData|1
0x000FADE0|BGSExplosion::InitializeData|1
0x000FC2E0|BGSPlaceableWater::InitializeData|1
0x000FC360|BGSPlaceableWater::SetReflectionEnabled|1
0x000FC380|BGSPlaceableWater::SetReflectsLand|1
0x000FC3A0|BGSPlaceableWater::SetReflectsLODLand|1
0x000FC3C0|BGSPlaceableWater::SetReflectsSky|1
0x000FC3E0|BGSPlaceableWater::SetRefractionEnabled|1
0x000FC400|BGSPlaceableWater::SetRefractsLand|1
0x000FC420|BGSPlaceableWater::EnableUnderwaterFoggingPass|1
0x000FC450|BGSPlaceableWater::SetAutomaticWater|1
0x000FC470|BGSPlaceableWater::SetObjectTexCoordsEnabled|1
0x000FC490|BGSPlaceableWater::SetDepthEnabled|1
0x000FCC00|BGSProjectileData::BGSProjectileData|1
0x000FCC20|BGSProjectileData::Initialize|1
0x000FD050|BGSProjectile::InitializeData|1
0x000FD090|TESBoundObject::TESBoundObject|1
0x000FD380|MobileObject::GetDialogueItemTarget|2
0x000FD3C0|BGSProjectile::GetExplosion|1
0x000FD3E0|EffectSetting::GetHitSound|1
0x000FE7A0|BGSTalkingActivator::InitializeData|1
0x000FFC90|TESObjectACTI::TESObjectACTI|1
0x000FFFE0|MessageHandler::SetWarningCount|2
0x00101830|ComputersMenu::AnimatingTextManager::AddItem|1
0x00101E50|AStarSearch<NavMeshSearchNode,NavMeshSearchLink>::AStarSearch<NavMeshSearchNode,NavMeshSearchLink>|1
0x00103650|RaceSexMenu::MenuOption::GetID|1
0x00103E70|TESCasinoChips::InitializeData|1
0x00104620|TESForm::TESForm|1
0x00105000|TESCombatStyle::GetDefaultCombatStyle|1
0x00105610|SimpleCombatStyleData::Endian|2
0x001057A0|AdvancedCombatStyleData::Endian|2
0x001059C0|CombatStyleData::Endian|2
0x001064D0|EffectShaderData::EffectShaderData|1
0x00107610|PathingRequest::CopyTo|3
0x001076C0|PathingRequestCover::SetThreat|1
0x00108070|MissileProjectile::Initialize3D|1
0x00108120|BSPlayerDistanceCheckController::GetCheckDistance|1
0x00108D70|TESForm::GetHasResults|1
0x00108F70|TESFurniture::InitializeData|1
0x00109EE0|TESGrass::InitializeData|1
0x0010D4A0|TESObject::GetScaledModelFileName|1
0x0010E8B0|NiNPShortPoint3::operator=|2
0x0010E8F0|NiNPShortPoint3::GetZERO|2
0x0010E9C0|TESBoundObject::BOUND_DATA::BOUND_DATA|1
0x0010ED30|TESBoundObject::BOUND_DATA::Endian|2
0x0010FD90|BSAutoEvent::BSAutoEvent|1
0x00110130|TESForm::TESForm|1
0x00110710|TESObjectACTI::InitializeData|1
0x00112010|TESObjectARMA::InitializeData|1
0x00112E10|TESObjectARMO::InitializeData|1
0x00114830|TESObjectBOOK::InitializeData|1
0x001156B0|TESObjectCLOT::InitializeData|1
0x00119B00|TESParameters::GetParamCount|1
0x0011A980|TESObjectMISC::InitializeData|1
0x0011B840|PathingRequest::SetActorHeight|1
0x0011B860|PathingRequest::GetGoalZDelta|2
0x0011B8E0|PathingRequest::GetSmoothingRandomness|1
0x0011D000|NiBillboardNode::SetMode|1
0x0011D060|NiBillboardNode::SetUpdateControllers|1
0x0011D190|BSTextureSet::BSTextureSet|1
0x0011D250|TESForm::GetInitialized|1
0x0011D400|QueuedFileEntry::QueuedFileEntry|1
0x0011D740|BSTreeManager::CanTreesLoad|1
0x0011DDF0|TESObjectWEAP::InitializeData|1
0x0011E300|TESBoundObject::TESBoundObject|1
0x001224A0|TESForm::GetFormByNumericID|1
0x00125340|NiPoint3::operator-|1
0x00125430|VATS::IsInVats|2
