# global labels: 0x<pc_data_rva>|<qualified name>|votes|<mangled>
0x00DD951C|fDBVoiceAttenuationIn2D|1|?fDBVoiceAttenuationIn2D@@3V?$SettingT@VINISettingCollection@@@@A
0x00DD95B8|iHackingDumpRate|1|?iHackingDumpRate@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9604|iHackingInputRate|1|?iHackingInputRate@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD96BC|fQuestCinematicCharacterRemain|1|?fQuestCinematicCharacterRemain@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD96C0|fHudOpacity|4|?fHudOpacity@@3VINIPrefSetting@@A
0x00DD9C40|sBroken|1|?sBroken@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9E60|sDiscoveredText|1|?sDiscoveredText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9E64|iMapMarkerVisibleDistance|1|?iMapMarkerVisibleDistance@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9E84|sStatsXP|1|?sStatsXP@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9E88|sLevelUp|1|?sLevelUp@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9EA4|sInventoryAid|1|?sInventoryAid@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9EA8|sCantHotkeyItem|1|?sCantHotkeyItem@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9EB4|sInventoryDamageThreshold|1|?sInventoryDamageThreshold@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9EB8|sAnimatonCanNotDropItem|1|?sAnimatonCanNotDropItem@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DD9FD0|fScrollKnobIncrement|1|?fScrollKnobIncrement@@3V?$SettingT@VINISettingCollection@@@@A
0x00DD9FF0|sMissingName|1|?sMissingName@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA1F8|sForceLock|1|?sForceLock@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA1FC|fLockpickBonusHealth|2|?fLockpickBonusHealth@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA204|sLockpickSkillTooLow|1|?sLockpickSkillTooLow@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA28C|sLockBroken|1|?sLockBroken@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA290|cpminSweetSpotLengthA|1|?cpminSweetSpotLengthA@@3PAPAV?$SettingT@VINISettingCollection@@@@A
