global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1430EAC90,BSScaleformManager::GetSingleton,BSScaleformManager,0,medium,15,16,2,BSScaleformManager:15 BSScaleformRenderer:1,FUN_1410418f0 FUN_14106a5a0 FUN_140a766b0 FUN_14107a910 Workshop_CaravanMenu::Workshop_CaravanMenu FUN_1410327e0,
0x1431E5788,PipboyManager::GetSingleton,PipboyManager,0,medium,8,15,2,PipboyManager:8 Inventory3DManager:7,FUN_140ae2b50 TaskQueueInterface::TaskUnpackFunc BookMenu::OpenBookMenu BookMenu::~BookMenu PipboyInventoryMenu::ReadItem FUN_140ae4260,
0x14329D508,BGSSaveLoadManager::GetSingleton,BGSSaveLoadManager,0,medium,4,5,2,BGSSaveLoadManager:4 Entry:1,PauseMenu::ProcessMessage BSBatchRenderer::BSBatchRenderer UISaveLoadManager::ContinueLastSavedGame FUN_140bff990,
0x142ED9CC0,DAT_142ed9cc0,NiAVObject,1,medium,4,5,2,NiAVObject:4 NiObjectNET:1,FUN_140580720 FUN_14057f8b0,
0x1430E0208,GameVM::GetSingleton,GameVM,0,medium,3,4,2,GameVM:3 CharacterEvent:1,FUN_140c00590 FUN_140c366c0 GameScript::`anonymous_namespace'::latentMem_ObjectReference_SetAngle BSInputEnableManager::DebugNameFunctor::lambda_07749ecf6a2bb06bae9de8f93e40408f::::Func1,
0x143345F10,BSAudioManager::GetSingleton,Entry,0,medium,2,3,2,Entry:2 BSAudioManager:1,AudioLoadToCacheTask::Run FUN_14162f300,
0x1430DBD50,DAT_1430dbd50,MenuTopicManager,0,medium,1,1,1,MenuTopicManager:1,FUN_140bf2c60,
0x1432D2020,Main::GetSingleton,Main,0,medium,1,1,1,Main:1,FUN_140bd6d20,
0x14325E098,DAT_14325e098,Sky,0,medium,1,1,1,Sky:1,FUN_140c396b0,
0x14382DCF0,g_pBSTextureStreamer::Manager,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,FUN_1417c5d00,
0x1430EFE28,DAT_1430efe28,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,FUN_140484120,
0x143284BB0,DAT_143284bb0,Entry,0,medium,1,1,1,Entry:1,FUN_140b10770,
0x14333BDB8,DAT_14333bdb8,EntryBase,1,medium,1,1,1,EntryBase:1,FUN_141367910,
0x143E5B8E8,DAT_143e5b8e8,Entry,0,medium,1,1,1,Entry:1,FUN_1422ad790,
0x1431E6970,DAT_1431e6970,Sky,0,medium,1,1,1,Sky:1,TaskQueueInterface::TaskUnpackFunc,
0x1431E7500,DAT_1431e7500,ActorValueInfo,0,medium,1,1,1,ActorValueInfo:1,PipboyWorkshopData::Populate,
0x1431E6808,DAT_1431e6808,AnimationFileManagerSingleton,0,medium,1,1,1,AnimationFileManagerSingleton:1,FUN_140c866d0,
0x1432661A8,DAT_1432661a8,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,FUN_140fe6880,
0x1432D2248,DAT_1432d2248,Sky,0,medium,1,1,1,Sky:1,FUN_1406b76f0,
0x14326F780,DAT_14326f780,Actor,0,medium,1,1,1,Actor:1,LooksMenu::ThrowPick,
0x1431E59D0,TESAudio::ScriptedMusicState::GetSingleton,ScriptedMusicState,0,medium,1,1,1,ScriptedMusicState:1,FUN_1405c33a0,
0x143E5F2F8,BSInputDeviceManager::GetSingleton,BSInputDeviceManager,0,medium,1,1,1,BSInputDeviceManager:1,FUN_140c376e0,
0x1432D2260,g_pPlayerCharacter,PlayerCharacter,0,low,46,136,9,PlayerCharacter:46 TESObjectREFR:29 Actor:27 TESObjectCELL:21 AIProcess:5 PowerArmor:5 Workshop:1 BSSpinLock:1 ExtraDataList:1,FUN_1406367e0 Actor::SetActorCause FUN_1402ed190 MenuOpenHandler::Func9 PlayerCharacter::FindTravelCommandLocation FUN_140ae0cc0,
0x143284B58,DAT_143284b58,TESObjectREFR,0,low,3,6,3,TESObjectREFR:3 TESFurniture:2 BSReadWriteLock:1,FUN_140b12700 FUN_140b0e370 FUN_140b0d960 TerminalMenuUtils::HasHolotapeSlot,
0x14326F798,DAT_14326f798,Actor,1,low,1,2,2,Actor:1 IAnimationGraphManagerHolder:1,FUN_140a7f1a0,
