global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x145A3CD28,DAT_145a3cd28,AnimationFileManagerSingleton,0,high,2,2,1,AnimationFileManagerSingleton:2,Actor::MovetoMiddleHigh Actor::vf021,
0x145C64D28,DAT_145c64d28,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,lambda_d4be7055fa439260259132f8bd5d18e8_::operator BSStaticTriShapeDB::Request,
0x145932578,DAT_145932578,PipboyMapData,0,high,2,2,1,PipboyMapData:2,FastTravelCommand::DoExecute PipboyMapData::ProcessEvent,
0x145ACAB08,DAT_145acab08,BGSTerminal,0,high,2,2,1,BGSTerminal:2,HackingGame::GenerateGameBoard TerminalMenuUtils::GetPasswordLength,
0x145C60810,DAT_145c60810,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,BSResource::RegisterDBForExtension,
0x145B042C0,DAT_145b042c0,TES,0,medium,85,108,4,TES:85 TESObjectCELL:15 GridCellArray:7 Sky:1,TES::ToggleCollision Script::ToggleCollisionFunction FUN_140123490 TESDataHandler::InitAllForms TESObjectCELL::AttachReference3D FUN_140d83de0,
0x145930608,DAT_145930608,PlayerCamera,0,medium,27,32,3,PlayerCamera:27 TESCamera:4 BGSHeadPart:1,Actor::SpeakSoundFunction PlayerCharacter::vf207 FirstPersonState::vf014 FUN_140d83de0 PerkUtilities::CalculateGrenadeTrajectory FUN_140d831f0,
0x145932268,DAT_145932268,BGSCreatedObjectManager,0,medium,6,7,2,BGSCreatedObjectManager:6 BGSLocation:1,BSTSmartPointerrlt_AlchemyItem_BGSCreatedObjectManager::BSTCreatedObjectSmartPointerPolicyrgt_::operator BaseLoadedInventoryModel::BaseLoadedInventoryModel BaseLoadedInventoryModel::dtor_BaseLoadedInventoryModel BGSSaveLoadGlobalData::FinishLoadGlobalDataRange TESDataHandler::ClearData,
0x145AC4060,DAT_145ac4060,GameUIModel,0,medium,1,1,1,GameUIModel:1,FUN_140d83de0,
0x145AC1850,DAT_145ac1850,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,HUDFloatingQuestMarkers::UpdateFloatingQuestMarkers,
0x1460F0B58,DAT_1460f0b58,ScrapHeap,0,medium,1,1,1,ScrapHeap:1,BSTObjectArenarlt_BSCuller_CullingJob::SubGroupAlloc_1rgt_::Clear,
0x1459402F0,DAT_1459402f0,BSScaleformRenderer,1,medium,1,1,1,BSScaleformRenderer:1,FUN_140d831f0,
0x145AA1030,DAT_145aa1030,EntryBase,0,medium,1,1,1,EntryBase:1,FUN_142be9610,
0x145A67390,DAT_145a67390,NavMeshInfoMap,0,medium,1,1,1,NavMeshInfoMap:1,DynamicNavmesh::BuildThread::Finish,
0x145ACAC68,DAT_145acac68,Entry,0,medium,1,1,1,Entry:1,FUN_142bfb8e0,
0x145C60800,DAT_145c60800,GlobalPaths,0,medium,1,1,1,GlobalPaths:1,BSResource::RegisterGlobalPath,
0x145A3B980,DAT_145a3b980,BGSBodyPartData,0,medium,1,1,1,BGSBodyPartData:1,TESRace::GetDismemberBloodArt,
0x145940E80,DAT_145940e80,NiNode,0,medium,1,1,1,NiNode:1,FUN_1401f2950,
0x145936CD0,DAT_145936cd0,Projectile,0,medium,1,1,1,Projectile:1,Projectile::Manager::dtor_Manager,
0x145A379F8,DAT_145a379f8,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,CombatBehaviorContextChargingMovement::CheckShouldFlipThrow,
0x1459429C0,vrDataStruct,NiMatrix3,0,medium,1,1,1,NiMatrix3:1,FUN_140ef7180,
0x145ABD9A0,DAT_145abd9a0,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,CombatPathingRequest::CheckLocationBlocked,
0x145935410,DAT_145935410,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,Actor::CalculateDetectionFormula,
0x145932308,DAT_145932308,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,Script::OutputMemStats,
0x146879520,DAT_146879520,BSPreCulledObjects,1,medium,1,1,1,BSPreCulledObjects:1,FUN_1406350c0,
0x1460F1D40,DAT_1460f1d40,NiAVObject,0,medium,1,1,1,NiAVObject:1,FUN_140d81960,
0x146874E98,DAT_146874e98,Object,0,medium,1,1,1,Object:1,BSScript::_anonymous_namespace_::_dynamic_atexit_destructor_for__pInvalidObjValueC__,
0x145AB5288,DAT_145ab5288,Sky,0,medium,1,1,1,Sky:1,Main::CleanUpWorld,
0x145B6DB90,DAT_145b6db90,BSAudioManager,0,medium,1,1,1,BSAudioManager:1,AudioLoadToCacheTask::Run,
0x145B37A50,DAT_145b37a50,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,anonymous_namespacerapos_::LoadResponseDefinitionrlt_anonymous_namespacerapos_::MapResponseLookuprgt,
0x145932520,DAT_145932520,bhkWorld,1,medium,1,1,1,bhkWorld:1,CombatUtilities::Init,
0x145B043F0,DAT_145b043f0,Actor,0,low,76,224,14,Actor:76 PlayerCharacter:73 TESObjectREFR:33 AIProcess:12 TESObjectCELL:10 ActorState:7 MagicTarget:3 TESForm:2 BSReadWriteLock:2 TESWorldSpace:2 IMovementState:1 TESObjectDOOR:1 ExtraDataList:1 TeleportPath:1,FUN_1412cc060 BipedAnim::RemoveBipedWeapon Actor::SpeakSoundFunction FUN_1401c9f70 TESQuest::FindRefsForAlias FUN_140123490,
0x145ACAC10,DAT_145acac10,BSReadWriteLock,0,low,1,2,2,BSReadWriteLock:1 TESObjectREFR:1,TerminalMenuUtils::GetCurrentHolotape,
