global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x145AA4278,DAT_145aa4278,Main,0,medium,1,1,1,Main:1,`anonymous_namespace'::Main_InitGameData,
0x145A59238,DAT_145a59238,BSIdleInputWatcher,0,medium,1,1,1,BSIdleInputWatcher:1,LooksMenu::~LooksMenu,
0x145A40030,DAT_145a40030,EntryBase,0,medium,1,1,1,EntryBase:1,_anonymous_namespace_::_dynamic_atexit_destructor_for__NoiseTextureHandle__,
0x146577F78,DAT_146577f78,IEntryDB,0,medium,1,1,1,IEntryDB:1,BSScaleformFileOpener::ExistsIn,
0x145A5CD60,DAT_145a5cd60,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,CombatPathingRequest::CheckLocationBlocked,
0x1458DEF90,DAT_1458def90,NiNode,0,medium,1,1,1,NiNode:1,ScreenSplatter::Shutdown,
0x145A68C38,DAT_145a68c38,BGSTerminal,0,medium,1,1,1,BGSTerminal:1,TerminalMenuUtils::GetPasswordLength,
0x14671E5E0,DAT_14671e5e0,Object,0,medium,1,1,1,Object:1,BSScript::_anonymous_namespace_::_dynamic_atexit_destructor_for__pInvalidObjValueC__,
0x145C0C418,DAT_145c0c418,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,BSStaticTriShapeDB::QueuedHandles::BatchRequest,
0x145B02EC0,DAT_145b02ec0,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,AnimationSpeedInformationSingleton::GetSpeedInformationForSubgraph,
0x145A54488,DAT_145a54488,Sky,0,medium,1,1,1,Sky:1,Main::CleanUpWorld,
0x146721B70,DAT_146721b70,BSPortalGraph,1,medium,1,1,1,BSPortalGraph:1,Main::UpdateNonRenderSafeAITasks,
0x1458D0AF0,DAT_1458d0af0,PipboyDataManager,0,medium,1,1,1,PipboyDataManager:1,PipboyCompanionService::Update,
0x145A544B8,DAT_145a544b8,NiNode,0,medium,1,1,1,NiNode:1,BGSTerrainManager::UnloadAll,
0x1458D0880,DAT_1458d0880,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,Script::OutputMemStats,
0x145A67210,DAT_145a67210,MenuCursor,0,medium,1,1,1,MenuCursor:1,PipboyMenu::RefreshCursor,
0x14609A030,DAT_14609a030,NiNode,0,medium,1,1,1,NiNode:1,Main::PerformGameReset,
0x145AA4388,VTABLE_BSTEventSink_AutoLoadDoorRolloverEvent_,PlayerCharacter,0,low,88,193,7,PlayerCharacter:88 Actor:52 TESObjectREFR:33 AIProcess:10 TESObjectCELL:8 TESObjectDOOR:1 BSReadWriteLock:1,HolotapeLoadedHandler::executeHandler InventoryUserUIUtils::ItemChangeComparator::CompareItem Main::OnIdle ExamineMenu::BuildConfirmed TESPackage::GetEscortTargetForPackage Actor::Update,
0x145A67420,DAT_145a67420,Actor,1,low,1,2,2,Actor:1 TESObjectREFR:1,LooksMenu::~LooksMenu,
0x1467232D0,DAT_1467232d0,BSCullingProcess,0,low,1,2,2,BSCullingProcess:1 BSCompoundFrustum:1,DrawWorld::MainAccum,
